ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
MRK,Healthcare,252351037440,13.363756,10.747872,4.846726,4.265,0.39485002,0.13755,0.29632,0.40802,79.708,1.661,1.09,0.319,0.037,0.87,0.12353875862068965
META,Communication Services,1631033360384,28.658104,25.577074,8.406079,8.644,0.32643002,0.18013,0.30892,0.40075,26.311,1.978,1.671,1.272,0.262,-0.826,-0.3096498062953995
MET,Financial Services,50721533952,14.363464,7.8710012,1.7410856,0.962,0.12798001,0.0043599997,0.053400002,0.0701,163.999,1.891,1.626,0.752,-0.059,-0.326,-0.241441754601227
MTD,Healthcare,29810108416,36.097782,33.970894,-118.629395,8.051,,0.20481001,0.21202,0.28497,,1.075,0.634,1.405,0.079,0.061,5.568999016393443
MGM,Consumer Cyclical,9665717248,176.7,15.365218,3.595117,2.293,0.10293,0.02027,0.00403,0.051620003,913.283,1.235,1.08,1.491,0.016,,
MCHP,Technology,30648739840,,21.811539,4.577448,8.505,-0.02854,0.0064499998,-0.04394,0.08347999,80.841,2.252,0.942,1.451,-0.02,-0.816,-0.26729827205882356
MU,Technology,269510017024,31.55336,18.608393,4.9609528,7.327,0.17198999,0.08055,0.22845,0.32638,28.343,2.518,1.709,1.552,0.46,2.569,0.07243438302841573
MSFT,Technology,3642251542528,34.85064,32.77592,10.03276,12.458,0.32241002,0.14656,0.35707,0.48873,33.154,1.401,1.254,1.065,0.184,0.127,2.580781102362205
MAA,Real Estate,16235446272,28.65678,32.59277,2.7218575,9.622,0.09408,0.03294,0.25233,0.27229,87.122,0.04,0.021,0.776,0.006,-0.139,-2.344803597122302
MRNA,Healthcare,9401051136,,-2.7655172,1.0082977,2.522,-0.29317,-0.15494001,-1.39606,-0.25591,7.867,3.925,3.509,1.111,-0.454,,
MHK,Consumer Cyclical,7119695360,17.077496,10.27713,0.8509453,0.831,0.051999997,0.03196,0.03927,0.06664,28.031,2.246,1.034,1.239,0.014,-0.314,-0.32729713375796177
MOH,Healthcare,7911574016,8.982769,5.6775575,1.7763094,0.068,0.19708,0.052729998,0.020610001,0.01249,91.911,1.678,1.599,0.513,0.116,-0.734,-0.07735091961852861
TAP,Consumer Defensive,9195644928,,7.841484,0.8900714,1.34,-0.17295,0.044060003,-0.18638,0.16489,61.017,0.604,0.377,0.45,-0.023,,
MDLZ,Consumer Defensive,72448008192,20.970037,16.323616,2.7597594,2.467,0.13101,0.03727,0.0938,0.10837,83.621,0.611,0.307,0.397,0.059,-0.095,-1.7182753684210528
MPWR,Technology,45616087040,24.452492,55.423748,12.784371,16.673,0.64029,0.1225,0.7122,0.26477,0.528,4.771,3.412,1.464,0.189,0.258,2.1482072868217057
MNST,Consumer Defensive,72993251328,42.448864,39.95187,9.423562,8.837,0.25538,0.16877002,0.21654,0.30738002,0.779,3.185,2.629,0.488,0.168,0.395,1.011439746835443
MCO,Financial Services,87498317824,39.215435,36.624626,21.993599,12.316,0.54914004,0.13188,0.29916,0.46886003,181.347,1.84,1.637,1.455,0.107,0.229,1.5993286462882095
MS,Financial Services,269924401152,17.324795,21.322824,2.6846926,2.566,0.15135,0.01245,0.23606001,0.38872,420.553,2.266,1.85,1.217,0.191,0.489,0.43604957055214727
MOS,Basic Materials,7738403840,6.316062,9.910568,0.6054736,1.055,0.101169996,0.02856,0.10334,0.11958,37.134,1.141,0.328,0.937,0.228,2.395,0.041380242171189976
MSI,Technology,62902964224,30.301765,25.70184,27.047783,6.359,1.1517,0.11384,0.18704,0.26554,423.891,1.027,0.79,0.988,0.078,0.012,21.418200000000002
MSCI,Financial Services,41123115008,34.72652,32.117954,-21.474983,15.177,,0.19145,0.40032002,0.56425,,0.882,0.77,1.313,0.095,0.19,1.6904186315789473
NDAQ,Financial Services,50786619392,31.610716,28.187899,4.216368,7.306,0.14054,0.048660003,0.19895001,0.31614,79.867,0.986,0.175,1.03,0.029,0.377,0.7476896286472149
NTAP,Technology,23121797120,20.144348,15.281003,23.259037,3.414,1.25346,0.10062,0.17733999,0.24751,277.789,1.341,1.155,1.41,0.028,0.063,2.425556031746032
NFLX,Communication Services,463351283712,45.753136,4.598402,17.853062,10.86,0.42861,0.14739999,0.24047,0.28219998,65.822,1.332,1.132,1.703,0.172,0.087,0.5285519540229886
NEM,Basic Materials,99387727872,14.071541,23.624022,2.9764137,4.586,0.22875999,0.10552,0.33423,0.4685,16.914,2.039,1.379,0.441,0.2,1.081,0.2185385938945421
NWSA,Communication Services,14820326400,30.60241,23.962265,1.645504,1.834,0.070250005,0.03738,0.138,0.10448,31.439,1.763,1.524,0.97,0.023,-0.052,-4.608127884615384
NWS,Communication Services,16167937024,34.903614,25.958084,1.8767815,2.07,0.070250005,0.03738,0.138,0.10448,31.439,1.763,1.524,0.97,0.023,-0.052,-4.991939230769231
NEE,Utilities,176147136512,26.850794,22.983696,3.2510762,10.545,0.08236,0.02447,0.24729,0.30768,144.161,0.553,0.357,0.738,0.053,0.311,0.7390255948553054
NKE,Consumer Cyclical,95979610112,33.297436,20.102167,7.121079,2.12,0.21122,0.05685,0.062340003,0.0791,82.128,2.19,1.241,1.293,0.011,-0.3,-0.6700722333333334
NI,Utilities,19998806016,22.242105,22.720428,2.2114074,6.006,0.09073,0.03312,0.14155,0.22873,140.579,0.523,0.237,0.63,0.183,0.057,3.9860399999999996
NDSN,Industrials,13366061056,29.752201,22.721422,4.4569435,5.518,0.15594,0.0769,0.16341999,0.26538,74.482,1.694,0.941,1.019,0.121,0.088,2.5819797727272733
NSC,Industrials,65464799232,22.270992,21.483799,4.3236957,6.677,0.2048,0.061139997,0.24219,0.36578,116.353,0.862,0.715,1.322,0.017,-0.349,-0.6155816332378224
NTRS,Financial Services,24867860480,15.201631,17.07199,2.0434284,4.178,0.13432,0.01059,0.21761,0.30332002,,,,1.282,0.042,0.032,5.334996875
NOC,Industrials,78316789760,19.682259,19.492872,4.885056,2.287,0.26152,0.06529,0.09819999,0.13221,109.401,1.109,0.924,0.044,0.043,0.096,2.0305075
NCLH,Consumer Cyclical,8390395904,13.258993,8.818182,3.8260329,2.432,0.39870998,0.04729,0.06846,0.25507998,699.717,0.195,0.078,2.101,0.047,-0.096,-0.918560625
NRG,Utilities,31738126336,24.52616,23.77971,23.897465,1.46,0.64186996,0.06809,0.04839,0.05527,615.076,1.053,0.527,1.25,0.057,,
NUE,Basic Materials,36866838528,22.625,17.21047,1.7749987,1.322,0.09014,0.045539998,0.05185,0.10421,31.248,2.774,1.417,1.867,0.145,1.505,0.11435528239202658
NVDA,Technology,4410385629184,44.80494,44.043694,37.093212,23.296,1.07359,0.53528,0.53007,0.63168997,9.102,4.468,3.605,2.269,0.625,0.667,0.6603252473763118
NVR,Consumer Cyclical,21002629120,16.722254,14.672523,5.4820476,1.958,0.348,0.18898001,0.13545,0.17104,27.023,6.389,2.826,1.009,-0.049,-0.139,-1.0555771942446042
NXPI,Technology,54292877312,26.58642,16.476665,5.4052362,5.219,0.20872,0.07891,0.17111,0.28238,117.34,2.375,1.409,1.463,-0.024,-0.111,-1.4843842342342344
ORLY,Consumer Cyclical,84467867648,34.54671,2.221629,-94.54545,5.295,,0.13656001,0.14225,0.20742,,0.757,0.092,0.621,0.078,0.126,0.17631976190476192
OXY,Energy,41359134720,30.867647,13.28481,1.4784293,2.664,0.05955,0.03299,0.08169,0.17723,62.221,0.935,0.636,0.392,-0.077,-0.334,-0.3977488023952096
ODFL,Industrials,29730387968,28.46278,23.976273,6.9489613,5.313,0.25059,0.15888,0.18967,0.25655,1.994,1.204,1.064,1.271,-0.043,-0.105,-2.2834545714285714
OMC,Communication Services,22997571584,10.68879,8.387732,3.0315833,1.155,0.27007,0.051170003,0.08307,0.15593,128.056,0.924,0.729,0.757,0.04,-0.103,-0.8143429126213593
ON,Technology,21053980672,70.520546,11.916666,2.6394587,3.474,0.03891,0.056939997,0.051570002,0.18505,45.833,5.231,3.189,1.571,-0.12,-0.326,-0.36554190184049073
OKE,Energy,46035161088,13.4375,12.244556,2.0851161,2.49,0.17847,0.062750004,0.105790004,0.18160999,152.218,0.904,0.659,0.935,0.719,0.262,0.4673494656488549
ORCL,Technology,573294444544,46.550926,28.086594,23.65326,11.396,0.69241995,0.07152,0.21079999,0.31381,452.534,0.618,0.498,1.636,0.122,-0.019,-14.782417894736843
OTIS,Industrials,34239539200,25.734512,20.821001,-6.2703943,2.92,,0.14044,0.09413,0.16992001,,0.936,0.764,1.004,0.04,-0.291,-0.7154983161512027
PCAR,Industrials,55613890560,20.762745,13.645618,2.8713598,2.117,0.14151,0.049569998,0.091120005,0.099209994,82.453,5.69,5.04,1.023,-0.19,-0.395,-0.3454586835443038
PKG,Consumer Cyclical,17325414400,19.449495,17.130783,3.6186128,2.375,0.19811001,0.08185001,0.10185,0.15683,91.618,3.158,1.932,0.906,0.06,-0.049,-3.496078163265306
PLTR,Technology,406828744704,396.9535,363.17023,61.73237,102.851,0.19504,0.07651,0.28114,0.33296,3.52,6.427,6.306,1.477,0.628,2.0,1.81585115
PANW,Technology,132346363904,120.177216,26.372223,15.163712,13.453,0.15324001,0.03179,0.11687,0.12005,4.951,0.985,0.848,0.772,0.157,-0.041,-6.4322495121951215
PSKY,Communication Services,17452103680,527.3333,15.329754,1.4468629,1.048,0.01279,0.03009,-0.00947,0.10012,111.017,1.336,0.968,1.184,-0.004,,
PH,Industrials,108693766144,30.578142,29.175951,7.867264,5.904,0.27294,0.08911,0.18178,0.21086,74.953,1.066,0.555,1.255,0.037,0.178,1.6390983707865168
PAYX,Technology,39869071360,24.838564,20.941399,10.040787,7.46,0.41266,0.108100004,0.27855,0.36727002,126.47,1.268,0.515,0.894,0.168,-0.102,-2.0530783333333336
PAYC,Technology,9110755328,20.118011,18.572247,5.105933,4.298,0.28557,0.07124,0.22645001,0.22826,4.943,1.223,0.242,0.83,0.092,0.496,0.37444046370967743
PYPL,Financial Services,60093304832,12.630523,12.862987,2.9304883,1.834,0.24358,0.047,0.14963001,0.19198999,60.239,1.34,0.264,1.433,0.073,0.313,0.4109580511182109
PNR,Industrials,17239011328,26.75827,21.682476,4.5496235,4.547,0.17966999,0.091120005,0.15844,0.23982,44.76,1.462,0.72,1.207,0.029,0.333,0.6511254054054053
PEP,Consumer Defensive,203458576384,28.252851,17.220161,10.493574,2.658,0.37162,0.08365,0.078200005,0.16903,260.19,0.912,0.676,0.423,0.027,-0.108,-1.5944593518518517
PFE,Healthcare,142995554304,14.622092,8.583617,1.5409596,3.03,0.105979994,0.05189,0.15654999,0.35277,66.531,1.282,0.904,0.425,-0.059,-0.213,-0.4029867136150235
PCG,Utilities,33671989248,12.873949,10.351351,1.1076567,3.832,0.0876,0.02394,0.10492,0.21312,185.52,0.941,0.409,0.372,0.052,0.378,0.27384526455026453
PM,Consumer Defensive,240687464448,22.088572,21.475,-22.053915,7.219,,0.14938,0.21574,0.40747002,,0.848,0.369,0.444,0.094,0.131,1.6393129770992365
PSX,Energy,55595376640,37.080864,14.496313,2.059277,0.58,0.056199998,0.02456,0.011410001,0.04395,77.483,1.227,0.69,0.916,-0.029,-0.61,-0.23764447540983608
PNW,Utilities,10597388288,18.25567,18.918804,1.4784265,4.684,0.087749995,0.02342,0.11198,0.32109,197.565,0.675,0.352,0.534,0.029,0.006,31.531340000000004
PNC,Financial Services,75463548928,12.406331,12.794804,1.4155464,6.089,0.11486,0.01163,0.29937,0.39788,,,,1.017,0.108,0.246,0.5201139837398373
POOL,Industrials,9132835840,22.32938,20.34331,6.6180806,1.96,0.29307,0.10717,0.07784,0.122650005,100.725,2.57,0.795,1.222,0.013,0.04,5.0858275
PPG,Basic Materials,22626424832,17.93381,11.327683,2.8841453,1.826,0.1616,0.06034,0.06348,0.1416,99.56,1.465,1.004,1.161,0.012,-0.001,-113.27683
PPL,Utilities,26053615616,23.959185,19.245901,1.8071733,4.899,0.076620005,0.030079998,0.12162,0.26619,132.089,0.774,0.546,0.704,0.084,0.489,0.3935767075664622
PFG,Financial Services,18783836160,12.363636,9.990521,1.5939207,1.051,0.13767,0.00368,0.099580005,0.06856,34.137,1.557,0.375,0.895,0.222,,
PG,Consumer Defensive,341383184384,21.26239,19.657682,6.492189,4.317,0.31902,0.10746,0.19739,0.2758,67.125,0.714,0.465,0.381,0.03,0.214,0.9185832710280375
PGR,Financial Services,134144860160,12.562328,16.57681,3.782032,1.636,0.34223998,0.076009996,0.12579,0.15079,19.455,0.297,0.231,0.373,0.142,0.121,1.369984297520661
PLD,Real Estate,119758815232,37.47965,36.62784,2.2775126,17.486,0.05963,0.0247,0.35243,0.42720002,62.789,0.767,0.565,1.411,0.087,-0.243,-1.5073185185185185
PRU,Financial Services,37957046272,14.773972,7.341729,1.1758869,0.937,0.085,0.0026699998,0.04538,0.09917,148.723,0.841,0.732,0.97,-0.083,2.234,0.03286360340196956
PEG,Utilities,40271745024,19.394232,19.823095,2.3669543,5.414,0.12579,0.03364,0.17768,0.2703,138.209,0.934,0.515,0.607,0.221,0.192,1.0324528645833333
PTC,Technology,21141016576,28.978653,25.211428,5.513449,8.128,0.2085,0.096920006,0.26795998,0.50643003,35.802,1.118,0.967,1.019,0.427,1.748,0.14423013729977116
PSA,Real Estate,47929475072,28.3361,25.697084,9.659123,12.955,0.19933,0.07022,0.39453998,0.46947,106.758,0.269,0.205,0.985,0.031,0.213,1.2064358685446008
PHM,Consumer Cyclical,24968007680,9.764661,9.374074,1.9256812,1.44,0.21569,0.122279994,0.14926,0.17336,16.939,6.449,0.601,1.319,-0.016,-0.116,-0.8081098275862069
PWR,Industrials,67805978624,67.566124,44.755905,8.0760145,2.693,0.13369,0.047859997,0.03744,0.07105,71.612,1.344,1.211,1.143,0.175,0.149,3.003752013422819
QCOM,Technology,184185307136,34.14,13.957482,8.6452265,4.252,0.2334,0.14713,0.12512,0.26235,73.767,2.816,1.582,1.208,0.1,,
DGX,Healthcare,20413368320,21.400938,18.703894,2.7918394,2.431,0.14353,0.0612,0.08931,0.14915,86.524,1.128,0.886,0.623,0.132,0.085,2.2004581176470586
RL,Consumer Cyclical,21581404160,26.323225,27.3341,8.366009,3.013,0.34005,0.09596,0.112840004,0.14074999,111.231,2.04,1.271,1.548,0.165,0.437,0.6254942791762014
RJF,Financial Services,31032121344,15.11068,13.971274,2.482178,1.404,0.17666,0.024939999,0.15234,0.20146,48.456,2.118,2.1,1.006,0.07,0.035,3.991792571428571
RTX,Industrials,226322317312,34.590164,27.62684,3.5081158,3.058,0.10702,0.03787,0.07666,0.12399,61.315,1.073,0.665,0.431,0.119,0.294,0.9396884353741497
O,Real Estate,52894584832,53.738316,36.16352,1.3545028,14.555,0.02488,0.02268,0.17135,0.44514,73.977,1.362,0.833,0.809,0.103,0.152,2.379178947368421
REG,Real Estate,12885353472,32.12385,33.34762,1.9366168,11.551,0.0602,0.03056,0.26093,0.39363,73.101,0.88,0.723,0.943,0.077,0.074,4.506435135135136
REGN,Healthcare,78642683904,17.793764,16.376076,2.463921,4.94,0.15188,0.06157,0.32131,0.29563,8.739,4.063,3.193,0.386,0.009,0.18,0.9097820000000001
RF,Financial Services,22673555456,11.193832,11.243362,1.2706906,,0.11401,0.01359,0.31044,0.46976003,,,,1.054,0.156,,
RSG,Industrials,66398937088,31.647322,31.229074,5.5536118,4.803,0.18249,0.06343,0.12768,0.19919,113.763,0.583,0.51,0.553,0.033,-0.022,-14.195033636363638
RMD,Healthcare,36615643136,25.701845,24.378038,5.980736,6.862,0.25413,0.14185001,0.2735,0.34618,13.826,2.888,1.866,0.87,0.091,0.123,1.9819543089430893
RVTY,Healthcare,11924135936,52.95361,19.908916,1.5881827,5.006,0.0304,0.02093,0.08441,0.13788,45.676,1.753,1.318,1.073,0.022,-0.474,-0.4200193248945148
ROK,Industrials,43984338944,51.003914,34.315792,12.033591,5.653,0.20282,0.079169996,0.104169995,0.19732,98.275,1.135,0.696,1.507,0.138,-0.412,-0.8329075728155341
ROL,Consumer Cyclical,29302069248,56.915886,54.375,19.266056,8.233,0.36208,0.14887,0.14019,0.22037001,59.534,0.773,0.575,0.791,0.12,0.205,2.652439024390244
ROP,Technology,47807164416,30.588842,22.185314,2.39122,7.375,0.081549995,0.041050002,0.20337,0.28401,47.288,0.577,0.459,0.939,0.143,0.082,2.7055260975609756
ROST,Consumer Cyclical,58077917184,27.788734,26.542603,9.695332,2.641,0.37425,0.10819,0.0947,0.11578,88.181,1.52,0.85,1.048,0.104,0.068,3.903323970588235
RCL,Consumer Cyclical,72290746368,17.826496,18.550034,7.1494455,5.335,0.46677,0.07463,0.23318,0.33139,203.878,0.165,0.069,1.906,0.052,0.363,0.511020220385675
SPGI,Financial Services,149966405632,35.72436,29.221298,4.498013,10.899,0.119940005,0.06626,0.28091,0.44316003,31.784,0.974,0.78,1.191,0.088,0.241,1.212501991701245
CRM,Technology,224382763008,34.114826,21.08805,3.6548944,5.566,0.11201999,0.055209998,0.16868,0.22820999,19.255,1.124,0.931,1.243,0.098,0.333,0.6332747747747747
SBAC,Real Estate,19924084736,23.51824,20.389313,-4.046094,12.403,,0.0896,0.30724,0.53851,,0.504,0.399,0.863,0.097,-0.083,-2.456543734939759
SLB,Energy,54319063040,14.147861,9.907357,2.1188812,1.838,0.15182,0.0686,0.10341,0.15479,47.459,1.387,0.904,0.732,-0.025,-0.398,-0.24892856783919592
STX,Technology,58143510528,34.258022,27.512371,-904.6441,6.369,,0.1699,0.17922,0.26892,,0.979,0.562,1.62,0.213,0.723,0.38053071922544957
SRE,Utilities,59361382400,27.984615,17.694551,1.905071,7.375,0.0677,0.01845,0.15754,0.14503,81.287,1.587,0.085,0.735,0.135,-0.882,-0.20061849206349205
NOW,Technology,171595530240,100.04612,49.36407,15.141241,13.271,0.16813,0.056500003,0.13665,0.16789,21.255,1.063,0.885,0.961,0.218,0.159,3.1046584905660377
SHW,Basic Materials,84147494912,32.990227,26.407667,18.796434,4.182,0.59939,0.09191,0.110489994,0.18197,325.153,0.822,0.46,1.242,0.032,0.053,4.982578679245283
SPG,Real Estate,68715798528,26.516739,26.86873,25.75569,13.794,0.82455003,0.058319997,0.36498,0.50757,884.863,0.592,0.592,1.399,0.082,0.274,0.9806105839416057
SWKS,Technology,10145907712,22.155844,10.662499,1.7625787,2.441,0.0789,0.03948,0.116739996,0.10235,20.898,2.325,1.491,1.296,0.073,1.545,0.06901293851132687
SJM,Consumer Defensive,10776127488,,9.591643,1.7782003,2.129,-0.17438,0.0452,-0.13608,0.19118999,131.357,0.885,0.281,0.211,0.026,,
SW,Consumer Cyclical,17989318656,23.59589,9.542936,0.9731914,1.003,0.04099,0.02747,0.02402,0.07672,76.445,1.482,0.776,1.005,0.043,,
SNA,Industrials,17765799936,17.859465,16.927435,3.0436373,3.422,0.18330999,0.10019,0.19827999,0.25257,22.27,4.399,3.222,0.777,0.036,0.068,2.489328676470588
SOLV,Healthcare,14845375488,9.826635,15.477395,2.9772506,2.183,0.37271,0.03208,0.18139,0.07824,103.028,1.5,0.959,,0.007,9.314,0.01661734485720421
SO,Utilities,98042380288,22.149254,20.61111,2.801057,5.939,0.11429,0.03457,0.15422,0.36558998,192.679,0.755,0.433,0.44,0.075,0.108,1.908436111111111
LUV,Industrials,18607400960,56.238094,22.283018,2.3563447,0.746,0.04168,0.00712,0.0137600005,0.00504,67.618,0.491,0.376,1.182,0.012,-0.091,-2.4486832967032965
SWK,Industrials,11034004480,24.565516,12.97632,1.2288266,1.175,0.04918,0.02863,0.02892,0.09042,78.538,1.109,0.288,1.204,0.001,-0.434,-0.2989935483870968
SBUX,Consumer Cyclical,96880918528,52.269936,22.903225,-11.962931,3.228,,0.07266,0.04992,0.10976,,0.723,0.465,0.984,0.055,-0.854,-0.26818764637002346
STT,Financial Services,33765416960,12.648247,12.74304,1.3947383,-3.564,0.111499995,0.0084,0.21877001,0.32749,,,,1.456,0.094,0.23,0.5540452173913044
STLD,Basic Materials,24675905536,22.232096,16.696217,2.7236984,1.558,0.12550999,0.05547,0.0639,0.10516,42.166,3.107,1.294,1.477,0.112,0.337,0.49543670623145397
STE,Healthcare,25538613248,37.148994,26.008022,3.629162,4.77,0.101339996,0.06434,0.12073,0.18372999,29.314,2.37,1.425,1.026,0.099,0.286,0.9093713986013987
SYK,Healthcare,140227100672,48.057667,27.101257,6.436822,6.317,0.14036,0.07497,0.12071,0.22272,78.646,1.849,0.942,0.899,0.102,0.028,9.679020357142857
SMCI,Technology,19652288512,25.921259,7.764151,3.0118935,0.979,0.12787,0.04587,0.03766,0.03632,79.184,5.394,2.87,1.478,-0.155,-0.616,-0.12604141233766233
SYF,Financial Services,29347897344,8.649122,12.191654,1.7930939,2.884,0.21636999,0.030269999,0.37066,0.53381,,,,1.455,0.207,0.474,0.2572078902953587
SNPS,Technology,85632802816,60.64103,30.218561,3.0178378,14.92,0.065019995,0.02305,0.31042,0.095,54.828,1.625,1.396,1.146,0.14,-0.427,-0.707694637002342
SYY,Consumer Defensive,35646418944,19.957106,15.130081,17.235472,0.602,0.8346,0.08311,0.02211,0.041750003,690.715,1.148,0.615,0.623,0.032,0.0,
TMUS,Communication Services,236484296704,20.243738,19.693533,3.8863306,4.113,0.19034,0.05743,0.13826999,0.2223,200.622,0.893,0.566,0.435,0.089,-0.077,-2.557601688311688
TROW,Financial Services,22514221056,11.174482,10.959358,2.0720685,2.827,0.1867,0.10049,0.28892002,0.35474,4.09,3.81,3.81,1.54,0.06,0.087,1.2596963218390806
TTWO,Communication Services,45608960000,,31.483418,13.284,7.557,-0.86609,-0.0062599997,-0.64265,-0.054970004,102.325,1.154,1.018,0.954,0.311,,
TPR,Consumer Cyclical,22617421824,83.40459,22.953781,56.261585,3.582,0.16053,0.09236,0.03765,0.21213,1051.139,1.525,0.788,1.664,0.131,0.62,0.37022227419354836
TRGP,Energy,36969963520,23.153639,20.799032,13.6360035,3.125,0.4985,0.08448,0.09949,0.2016,615.121,0.773,0.52,0.902,0.078,0.257,0.8093008560311284
TGT,Consumer Defensive,41109491712,10.966061,8.607992,2.6426942,0.547,0.25094998,0.05866,0.03576,0.04626,132.062,0.975,0.18,1.125,-0.016,-0.184,-0.46782565217391303
TEL,Technology,67615821824,37.325203,25.533928,5.3727326,4.217,0.14618,0.08783,0.106709994,0.19773,50.102,1.556,0.91,1.239,0.167,1.453,0.17573247075017204
TDY,Technology,23274543104,28.73739,23.099722,2.203827,4.209,0.08127,0.04685,0.13616,0.18545,23.989,1.787,1.031,1.026,0.067,-0.161,-1.4347653416149067
TER,Technology,30214428672,69.06909,44.691765,10.991262,10.392,0.15767999,0.08334,0.15495,0.18892,9.89,1.759,0.896,1.848,0.043,-0.157,-2.8466092356687898
TSLA,Consumer Cyclical,1427574620160,294.0,132.48148,17.84188,14.644,0.06791,0.0235,0.05314,0.06628,17.082,2.066,1.486,1.872,0.116,-0.371,-3.5709293800539084
TXN,Technology,159335366656,31.923498,29.806122,9.581238,9.736,0.29757,0.10697,0.29208001,0.36736,84.477,4.45,2.806,0.994,0.142,0.007,42.58017428571428
TPL,Energy,19869607936,41.832123,11.825355,14.524945,25.059,0.3937,0.27351,0.61676997,0.73521006,1.292,10.857,9.714,0.954,0.17,0.138,0.8569097826086957
TXT,Industrials,14689462272,18.037199,12.302985,1.9377056,1.21,0.11465,0.043670002,0.05809,0.09495,55.332,1.838,0.693,1.016,0.051,0.105,1.171712857142857
TMO,Healthcare,218049691648,33.5474,24.70711,4.273963,5.723,0.13116999,0.04942,0.15022,0.19277,69.75,1.498,0.946,0.906,0.049,0.005,49.41422
TJX,Consumer Cyclical,167364657152,33.116997,32.613045,18.048605,3.009,0.58396,0.12331,0.086789995,0.12489,140.977,1.094,0.426,0.769,0.075,0.123,2.6514670731707315
TKO,Communication Services,15987124224,74.0076,60.074074,4.0195775,9.497,0.08129,0.03032,0.08989,0.15632,42.785,1.456,0.982,0.254,-0.273,0.65,0.9242165230769231
TTD,Communication Services,19533268992,45.397728,20.699482,7.4464126,6.54,0.16783,0.05764,0.15717,0.21802999,14.456,1.71,1.644,1.05,0.177,0.211,0.9810181042654029
TSCO,Consumer Cyclical,28121638912,25.710146,4.781671,10.941612,2.186,0.45459,0.090100005,0.07176,0.09215,222.382,1.301,0.066,0.72,0.072,0.088,0.5433717045454547
TT,Industrials,91502764032,31.438839,32.50751,10.964112,4.498,0.3721,0.114209995,0.13926,0.20219,55.305,1.205,0.796,1.187,0.055,0.114,2.851535964912281
TDG,Industrials,75715059712,41.84522,30.902716,-7.820467,11.658,,0.10823,0.23485,0.47764,,3.214,2.158,0.923,0.115,0.34,0.9089034117647059
TRV,Financial Services,64955613184,11.350118,13.577412,2.0355005,1.368,0.19809,0.034560002,0.121350005,0.19687,29.318,0.338,0.205,0.549,0.048,0.52,0.2611040769230769
TRMB,Technology,19565105152,56.313015,27.589598,3.378133,5.755,0.06131,0.03812,0.099309996,0.18364,24.038,1.004,0.619,1.604,0.029,1.875,0.14714452266666667
TFC,Financial Services,59932946432,12.461125,11.767088,0.99531037,5.051,0.07982,0.00982,0.28605,0.39318,,,,0.886,0.025,0.048,2.4514766666666667
TYL,Technology,19966623744,64.10139,42.615883,5.5106087,8.507,0.091680005,0.045840003,0.13719,0.16434999,17.86,1.028,0.976,0.911,0.097,0.109,3.909714036697247
TSN,Consumer Defensive,20244121600,43.11278,16.382856,1.1192224,0.53,0.0276,0.025710002,0.00871,-0.0049799997,53.19,1.552,0.587,0.476,0.022,-0.87,-0.18830868965517242
USB,Financial Services,77311492096,11.368422,11.473441,1.3677284,3.663,0.1172,0.01044,0.27632,0.39486,,,,1.115,0.072,0.185,0.620186
UBER,Technology,182620110848,11.27027,37.105934,6.473719,3.774,0.72994006,0.051609997,0.33542,0.082650006,45.755,1.154,0.98,1.183,0.204,1.585,0.23410683911671923
UDR,Real Estate,13662788608,82.47727,77.21277,3.714052,10.861,0.03649,0.02016,0.08595,0.20661,144.858,0.159,0.002,0.717,0.066,0.976,0.7911144467213116
ULTA,Consumer Cyclical,24632440832,21.054552,23.963707,9.445066,2.284,0.48521,0.15983,0.10308,0.12367,87.863,1.395,0.212,0.869,0.093,0.091,2.633374395604396
UNP,Industrials,137755688960,19.73152,19.17754,7.960513,6.917,0.41619,0.09198,0.2873,0.41030997,189.829,0.748,0.527,1.001,0.025,0.095,2.0186884210526315
UAL,Industrials,33791770624,10.458918,8.633581,2.3615918,0.887,0.25588,0.04435,0.05643,0.0888,218.897,0.667,0.581,1.312,0.026,0.0,
UPS,Industrials,81088700416,14.772799,10.849035,5.122461,1.157,0.33618,0.07118,0.061490003,0.10175,184.32,1.305,1.174,1.096,-0.037,-0.141,-0.7694351063829789
URI,Industrials,51526381568,20.618692,17.089842,5.6740117,4.107,0.28781,0.08681,0.15826,0.26484,169.022,0.898,0.734,1.671,0.059,0.02,8.544921
UNH,Healthcare,293980864512,16.920752,10.854181,3.069662,0.812,0.17476,0.05361,0.04042,0.03813,75.734,0.823,0.745,0.429,0.122,-0.602,-0.18030200996677742
UHS,Healthcare,15189282816,11.365714,13.143171,2.0800543,1.179,0.20028,0.08218,0.08093,0.11605,70.037,1.031,0.854,1.285,0.134,0.542,0.24249392988929888
VLO,Energy,55460655104,37.19375,18.500519,2.2924023,0.543,0.052389998,0.03586,0.01283,0.05527,39.561,1.596,1.002,0.761,-0.032,2.096,0.08826583492366412
VTR,Real Estate,37616205824,151.09435,500.50003,3.0410511,9.132,0.021559998,0.021370001,0.042930003,0.15584,100.11,0.524,0.411,0.802,0.218,2.016,2.4826390376984127
